,Resolution,Alpha,Runtime(s),Resolution_inv,Extrapolation,Error,Error %
0,5.0,-0.19098775762616513,0.0007,0.2,0.0,0.0,0.0
1,7.0,-0.16367420419280618,0.00124,0.14285714285714285,-0.09539032060940883,-0.016520661924539576,14.762324081577965
2,9.0,-0.15034357162111903,0.00304,0.1111111111111111,-0.103686357620214,-0.008224624913734407,7.34925628165176
3,11.0,-0.14246312775992978,0.00729,0.09090909090909091,-0.10700113038457816,-0.004909852149370245,4.387283569671843
4,13.0,-0.1372619910407854,0.00438,0.07692307692307693,-0.10865573908549131,-0.003255243448457096,2.9087792589700583
5,15.0,-0.13357363833712052,0.00952,0.06666666666666667,-0.10959934576329881,-0.0023116367706495916,2.065603141271995
6,17.0,-0.13082236566132036,0.01924,0.058823529411764705,-0.11018782059281912,-0.0017231619411292864,1.5397612478351372
7,19.0,-0.12869151127187045,0.02343,0.05263157894736842,-0.11057924896154628,-0.0013317335724021273,1.1899936380222051
8,21.0,-0.12699256889913538,0.04219,0.047619047619047616,-0.11085261635815219,-0.001058366175796216,0.9457214581018968
9,23.0,-0.12560634270105014,0.03964,0.043478260869565216,-0.11105096762115521,-0.0008600149127931944,0.7684812458261702
10,25.0,-0.12445378624666366,0.05467,0.04,-0.11119938702121905,-0.0007115955127293544,0.6358585159535085
11,27.0,-0.12348041646392584,0.10666,0.037037037037037035,-0.11131329417970309,-0.0005976883542453126,0.5340747983014114
12,29.0,-0.12264746293202283,0.11564,0.034482758620689655,-0.11140259025133226,-0.0005083922826161491,0.4542827442891294
13,31.0,-0.12192658584391519,0.15097,0.03225806451612903,-0.1114738680663544,-0.0004371144675940075,0.39059121606890373
14,33.0,-0.12129659001045322,0.21556,0.030303030303030304,-0.11153165459179261,-0.00037932794215579657,0.3389550637183681
15,35.0,-0.1207413072274826,0.346,0.02857142857142857,-0.11157914130846733,-0.00033184122548107764,0.29652248418104366
16,37.0,-0.12024818955225669,0.33087,0.02702702702702703,-0.11161863023580336,-0.00029235229814504604,0.26123646806189055
17,39.0,-0.11980734985318484,0.4176,0.02564102564102564,-0.11165181542035554,-0.00025916711359286193,0.23158327067161893
18,41.0,-0.11941089209253525,0.41459,0.024390243902439025,-0.11167996575986827,-0.00023101677408013388,0.2064290464164717
19,43.0,-0.11905243417136378,0.52889,0.023255813953488372,-0.11170404678734877,-0.00020693574659963465,0.18491102652669528
20,45.0,-0.11872676170315391,0.66172,0.022222222222222223,-0.11172480363664163,-0.0001861788973067796,0.16636338372804643
21,47.0,-0.11842957263955846,0.71767,0.02127659574468085,-0.11174281870866082,-0.00016816382528758722,0.15026570357969507
22,49.0,-0.11815728610255923,0.8303,0.02040816326530612,-0.11175855248307726,-0.00015243005087114958,0.13620651648278545
23,51.0,-0.11790689734861967,1.01045,0.0196078431372549,-0.1117723728771006,-0.00013860965684781013,0.12385706363159006
24,53.0,-0.1176758663800344,1.22296,0.018867924528301886,-0.11178457668110989,-0.00012640585283851813,0.11295214283385697
25,55.0,-0.11746203143613813,1.47372,0.01818181818181818,-0.11179540542288717,-0.00011557711106123525,0.10327593274965191
26,57.0,-0.11726354111399964,1.63916,0.017543859649122806,-0.1118050572551911,-0.00010592527875730173,0.09465137054369896
27,59.0,-0.11707880060050072,1.97157,0.01694915254237288,-0.11181369596578129,-9.728656816711256e-05,0.08693210082182998
28,61.0,-0.11690642870799631,2.23397,0.01639344262295082,-0.11182145787911625,-8.952465483215433e-05,0.07999630849903124
29,63.0,-0.11674522326312957,2.58425,0.015873015873015872,-0.11182845719469406,-8.25253392543468e-05,0.07374194863253263
30,65.0,-0.1165941330136179,2.91966,0.015384615384615385,-0.11183479015400034,-7.619237994806183e-05,0.06808302297314629
31,67.0,-0.11645223466457202,3.40825,0.014925373134328358,-0.11184053832058104,-7.044421336736828e-05,0.0629466489993499
32,69.0,-0.11631871398393334,3.91618,0.014492753623188406,-0.11184577118253748,-6.521135141092371e-05,0.05827073441263168
33,71.0,-0.11619285015995223,4.48605,0.014084507042253521,-0.11185054823260396,-6.0434301344447494e-05,0.054002118448128744
34,73.0,-0.11607400277591598,4.97409,0.0136986301369863,-0.11185492064262903,-5.6061891319375556e-05,0.05009507561277025
