,Resolution,Alpha,Runtime(s) evd,Resolution_inv,Extrapolation,Error,Error %
0,5.0,-0.18448791970113096,0.52976,0.2,0.0,0.0,0.0
1,7.0,-0.1592340881416003,0.00117,0.14285714285714285,-0.0960995092427737,-0.01458362028776837,13.176010065512417
2,9.0,-0.14682415236630458,0.06312,0.1111111111111111,-0.10338937715276952,-0.00729375237777255,6.589759802337267
3,11.0,-0.13945905466315922,0.0024,0.09090909090909091,-0.10631611499900508,-0.004367014531536997,3.945510530881725
4,13.0,-0.1345856276824858,0.02376,0.07692307692307693,-0.107781779288782,-0.0029013502417600673,2.62131207715758
5,15.0,-0.13112349209112384,0.01498,0.06666666666666667,-0.1086196107472711,-0.002063518783270976,1.8643480646267467
6,17.0,-0.12853755960891622,0.02344,0.058823529411764705,-0.10914306599235907,-0.0015400635381830063,1.3914166907957177
7,19.0,-0.1265327372227416,0.0264,0.05263157894736842,-0.10949174694025743,-0.0011913825902846453,1.0763904086718956
8,21.0,-0.12493300474824023,0.04402,0.047619047619047616,-0.10973554624047716,-0.0009475832900649184,0.8561226034031146
9,23.0,-0.12362688405674258,0.09538,0.043478260869565216,-0.10991261679601716,-0.0007705127345249141,0.696142888074282
10,25.0,-0.12254035117183526,0.05703,0.04,-0.11004522299540112,-0.000637906535140953,0.5763358317085967
11,27.0,-0.12162233013572026,0.07662,0.037037037037037035,-0.11014706718428272,-0.0005360623462593583,0.48432163829577707
12,29.0,-0.12083644231743874,0.23892,0.034482758620689655,-0.11022695677063833,-0.00045617275990374184,0.4121429903893934
13,31.0,-0.1201560758126734,0.11921,0.03225806451612903,-0.11029076149357593,-0.00039236803696614253,0.35449669577500686
14,33.0,-0.11956131454863712,0.18145,0.030303030303030304,-0.11034251495607479,-0.00034061457446728227,0.3077384746094413
15,35.0,-0.11903695730552939,0.21889,0.02857142857142857,-0.11038506279425184,-0.0002980667362902367,0.26929735141613226
16,37.0,-0.11857120063201815,0.31845,0.02702702702702703,-0.11042045884557135,-0.00026267068497072554,0.23731772500907086
17,39.0,-0.11815473984926035,0.40232,0.02564102564102564,-0.11045021536824112,-0.0002329141623009512,0.21043330025889853
18,41.0,-0.11778014110886509,0.5681,0.024390243902439025,-0.11047546567115744,-0.00020766385938462972,0.18762015518121633
19,43.0,-0.11744139373242388,0.4966,0.023255813953488372,-0.11049707251537905,-0.00018605701516302697,0.16809880236688296
20,45.0,-0.1171335852112423,0.64365,0.022222222222222223,-0.11051570200583839,-0.00016742752470368105,0.15126742929461606
21,47.0,-0.11685266137154475,0.70541,0.02127659574468085,-0.11053187497834989,-0.0001512545521921843,0.13665547119396088
22,49.0,-0.11659524675985332,0.85889,0.02040816326530612,-0.1105460033851047,-0.00013712614543737178,0.12389073747642182
23,51.0,-0.11635850831756155,1.02942,0.0196078431372549,-0.1105584164814131,-0.00012471304912897718,0.11267575253603908
24,53.0,-0.116140050643437,1.20645,0.018867924528301886,-0.11056937995326126,-0.0001137495772808167,0.10277047438329656
25,55.0,-0.11593783462292,1.38296,0.01818181818181818,-0.11057911007921924,-0.00010401945132283708,0.09397949964374092
26,57.0,-0.11575011356056279,1.55789,0.017543859649122806,-0.11058778434573967,-9.534518480240617e-05,0.08614247284731542
27,59.0,-0.11557538257533624,1.88916,0.01694915254237288,-0.11059554949637954,-8.758003416253768e-05,0.07912681411702469
28,61.0,-0.11541233815315992,2.17001,0.01639344262295082,-0.11060252769895838,-8.060183158369039e-05,0.07282214726450158
29,63.0,-0.1152598455551955,2.68662,0.015873015873015872,-0.11060882131728075,-7.430821326132042e-05,0.06713598863394597
30,65.0,-0.11511691235771578,2.97643,0.015384615384615385,-0.11061451663710443,-6.861289343763899e-05,0.061990380764130666
31,67.0,-0.11498266681866678,3.28696,0.014925373134328358,-0.1106196867995746,-6.344273096747788e-05,0.05731924208916716
32,69.0,-0.11485634007405504,3.76375,0.014492753623188406,-0.11062439412956164,-5.8735400980433616e-05,0.053066263331690566
33,71.0,-0.11473725139582291,4.16634,0.014084507042253521,-0.11062869199681455,-5.443753372752491e-05,0.04918322598793462
34,73.0,-0.11462479591414564,4.71494,0.0136986301369863,-0.11063262631460226,-5.0503215939814994e-05,0.0456286483351368
35,75.0,-0.11451843433653418,5.56133,0.013333333333333334,-0.11063623675371595,-4.689277682612403e-05,0.042366688604684205
36,77.0,-0.1144176842948687,6.19283,0.012987012987012988,-0.11063955773241346,-4.3571798128611006e-05,0.03936625058707591
37,79.0,-0.11432211302735173,7.04084,0.012658227848101266,-0.11064261922794842,-4.051030259365207e-05,0.03660025043154711
38,81.0,-0.11423133116114152,8.06611,0.012345679012345678,-0.11064544744583812,-3.76820847039494e-05,0.034045011975877816
39,83.0,-0.11414498740724371,9.19569,0.012048192771084338,-0.11064806537438249,-3.506415615958658e-05,0.031679765749586
40,85.0,-0.11406276401521916,10.3056,0.011764705882352941,-0.11065049324620001,-3.2636284342066335e-05,0.0294862319853909
41,87.0,-0.11398437286372352,11.56469,0.011494252873563218,-0.11065274892515914,-3.0380605382934744e-05,0.0274482710344321
42,89.0,-0.11390955208544633,12.47905,0.011235955056179775,-0.1106548482303883,-2.8281300153767952e-05,0.025551590629684866
43,91.0,-0.11383806314314393,14.75463,0.01098901098901099,-0.11065680521068724,-2.6324319854831302e-05,0.023783497960786635
44,93.0,-0.11376968828795024,15.22037,0.010752688172043012,-0.11065863237663737,-2.4497153904706748e-05,0.02213268996694475
45,95.0,-0.11370422834289368,17.97668,0.010526315789473684,-0.11066034089776344,-2.2788632778630857e-05,0.02058907520530717
46,97.0,-0.11364150076409786,19.21875,0.010309278350515464,-0.11066194077129662,-2.1188759245449607e-05,0.019143621376917018
47,99.0,-0.11358133793990384,20.87664,0.010101010101010102,-0.1106634409664938,-1.968856404827024e-05,0.017788224937059942
48,101.0,-0.1135235856945311,22.97454,0.009900990099009901,-0.11066484954858027,-1.8279981961799585e-05,0.016515599115541253
49,103.0,-0.11346810196814643,25.24634,0.009708737864077669,-0.11066617378572062,-1.6955744821453567e-05,0.015319177270619884
50,105.0,-0.11341475564955227,27.8396,0.009523809523809525,-0.11066742024195296,-1.570928858911358e-05,0.014193028924772798
51,107.0,-0.11336342554127049,30.25165,0.009345794392523364,-0.11066859485647736,-1.4534674064717312e-05,0.01313178812919867
52,109.0,-0.1133139994398587,33.05744,0.009174311926605505,-0.11066970301432809,-1.3426516213985162e-05,0.01213058961282824
53,111.0,-0.11326637331673955,36.48669,0.009009009009009009,-0.11067074960674596,-1.2379923796115855e-05,0.0111850142371514
54,113.0,-0.11322045058697112,40.44187,0.008849557522123894,-0.11067173908482325,-1.1390445718822972e-05,0.01029104052906263
55,115.0,-0.11317614145511931,44.77445,0.008695652173913044,-0.11067267550549185,-1.0454025050218863e-05,0.009445003131515325
56,117.0,-0.11313336232893245,48.55019,0.008547008547008548,-0.11067356257318803,-9.56695735404578e-06,0.008643555160234115
57,119.0,-0.11309203529274242,54.96634,0.008403361344537815,-0.11067440367562564,-8.725854916430409e-06,0.007883635883301062
58,121.0,-0.1130520876336144,57.21063,0.008264462809917356,-0.11067520191549753,-7.927615044547864e-06,0.0071624420796308486
59,123.0,-0.11301345141419533,62.20876,0.008130081300813009,-0.11067596013934129,-7.1693912007814165e-06,0.00647740195925982
60,125.0,-0.11297606308695257,71.1737,0.008,-0.11067668096152285,-6.448569019226746e-06,0.005826153494735906
61,127.0,-0.1129398631452283,75.80866,0.007874015748031496,-0.11067736678746151,-5.762743080561794e-06,0.0052065234376767544
62,129.0,-0.11290479580705132,81.54397,0.007751937984496124,-0.1106780198328127,-5.109697729377416e-06,0.0046165099876105675
63,131.0,-0.11287080872818202,86.74213,0.007633587786259542,-0.11067864214111221,-4.487389429860822e-06,0.004054266850687995
64,133.0,-0.11283785274128544,95.00442,0.007518796992481203,-0.11067923559955947,-3.893930982601379e-06,0.0035180889798809693
65,135.0,-0.11280588161850556,101.59915,0.007407407407407408,-0.11067980195364385,-3.327576898221052e-06,0.003006399360349524
66,137.0,-0.11277485185500576,110.64343,0.0072992700729927005,-0.1106803428187688,-2.7867117732699453e-06,0.0025177385072952564
