,Resolution,Alpha,Runtime(s) ev,Runtime(s) evr,Runtime(s) evd,Runtime(s) evx,Resolution_inv
0,5.0,-0.15398,0.045,0.003,0.003,0.002,0.2
1,7.0,-0.13189,0.002,0.001,0.001,0.001,0.14285714285714285
2,9.0,-0.12119,0.006,0.005,0.01,0.005,0.1111111111111111
3,11.0,-0.11489,0.005,0.009,0.009,0.007,0.09090909090909091
4,13.0,-0.11074,0.008,0.005,0.005,0.004,0.07692307692307693
5,15.0,-0.1078,0.009,0.009,0.01,0.009,0.06666666666666667
6,17.0,-0.10561,0.019,0.015,0.03,0.017,0.058823529411764705
7,19.0,-0.10392,0.026,0.024,0.03,0.024,0.05263157894736842
8,21.0,-0.10257,0.034,0.031,0.035,0.025,0.047619047619047616
9,23.0,-0.10147,0.044,0.039,0.039,0.035,0.043478260869565216
10,25.0,-0.10055,0.057,0.054,0.064,0.06,0.04
11,27.0,-0.09978,0.084,0.087,0.091,0.084,0.037037037037037035
12,29.0,-0.09912,0.134,0.132,0.11,0.091,0.034482758620689655
13,31.0,-0.09855,0.134,0.123,0.146,0.123,0.03225806451612903
14,33.0,-0.09805,0.186,0.176,0.184,0.175,0.030303030303030304
15,35.0,-0.09761,0.224,0.223,0.246,0.203,0.02857142857142857
16,37.0,-0.09722,0.335,0.323,0.298,0.336,0.02702702702702703
17,39.0,-0.09687,0.478,0.428,0.433,0.419,0.02564102564102564
18,41.0,-0.09655,0.557,0.583,0.459,0.615,0.024390243902439025
19,43.0,-0.09627,0.6,0.86,0.544,0.77,0.023255813953488372
20,45.0,-0.09601,0.678,1.078,0.678,1.129,0.022222222222222223
21,47.0,-0.09578,0.85,1.407,0.789,1.549,0.02127659574468085
22,49.0,-0.09556,1.077,1.881,0.943,1.799,0.02040816326530612
23,51.0,-0.09536,1.235,2.323,1.121,2.345,0.0196078431372549
24,53.0,-0.09518,1.477,2.96,1.316,3.061,0.018867924528301886
25,55.0,-0.09501,1.783,3.774,1.531,4.143,0.01818181818181818
26,57.0,-0.09485,2.203,4.639,1.777,4.997,0.017543859649122806
27,59.0,-0.09471,2.914,6.944,2.392,6.278,0.01694915254237288
28,61.0,-0.09457,3.011,7.785,2.569,7.387,0.01639344262295082
29,63.0,-0.09444,3.69,8.908,2.824,8.832,0.015873015873015872
30,65.0,-0.09432,3.291,11.256,3.504,12.036,0.015384615384615385
31,67.0,-0.09421,4.286,12.54,4.014,12.649,0.014925373134328358
32,69.0,-0.0941,4.587,14.978,4.382,14.461,0.014492753623188406
33,71.0,-0.09401,5.358,19.926,5.948,18.337,0.014084507042253521
34,73.0,-0.09391,6.58,23.718,6.253,22.843,0.0136986301369863
35,75.0,-0.09382,6.96,25.097,6.745,24.412,0.013333333333333334
36,77.0,-0.09374,7.589,28.247,7.416,28.321,0.012987012987012988
37,79.0,-0.09366,8.502,8.022,8.591,33.41,0.012658227848101266
38,81.0,-0.09358,9.531,8.992,9.461,38.783,0.012345679012345678
39,83.0,-0.09351,11.219,10.761,11.714,44.097,0.012048192771084338
40,85.0,-0.09344,12.345,11.613,12.269,50.509,0.011764705882352941
41,87.0,-0.09337,13.733,13.127,13.801,58.308,0.011494252873563218
42,89.0,-0.09331,15.387,14.993,15.583,66.488,0.011235955056179775
43,91.0,-0.09325,17.283,16.58,17.486,77.485,0.01098901098901099
44,93.0,-0.0932,19.683,18.7,19.486,86.462,0.010752688172043012
45,95.0,-0.09314,21.798,21.513,21.782,98.195,0.010526315789473684
46,97.0,-0.09309,24.26,23.288,25.043,114.59,0.010309278350515464
47,99.0,-0.09304,28.075,26.81,28.071,130.015,0.010101010101010102
48,101.0,-0.09299,29.603,28.485,31.505,146.374,0.009900990099009901
49,103.0,-0.09294,32.789,31.744,34.811,167.13,0.009708737864077669
50,105.0,-0.0929,41.763,36.257,37.871,179.749,0.009523809523809525
51,107.0,-0.09286,39.304,37.828,47.958,212.846,0.009345794392523364
52,109.0,-0.09281,41.961,41.012,45.119,222.165,0.009174311926605505
53,111.0,-0.09277,46.635,45.33,50.416,246.73,0.009009009009009009
54,113.0,-0.09274,50.89,49.537,55.336,275.651,0.008849557522123894
55,115.0,-0.0927,58.363,56.216,61.427,306.221,0.008695652173913044
56,117.0,-0.09266,64.148,61.593,66.63,368.184,0.008547008547008548
57,119.0,-0.09263,74.957,63.371,79.703,410.548,0.008403361344537815
58,121.0,-0.0926,90.997,74.317,85.626,437.151,0.008264462809917356
59,123.0,-0.09256,94.356,87.313,90.105,492.78,0.008130081300813009
