,Resolution,Alpha,Runtime(s) evd,Resolution_inv
0,5.0,-0.28952,0.002,0.2
1,7.0,-0.25037,0.002,0.14285714285714285
2,9.0,-0.23121,0.003,0.1111111111111111
3,11.0,-0.21985,0.004,0.09090909090909091
4,13.0,-0.21234,0.006,0.07692307692307693
5,15.0,-0.20701,0.013,0.06666666666666667
6,17.0,-0.20304,0.012,0.058823529411764705
7,19.0,-0.19996,0.023,0.05263157894736842
8,21.0,-0.1975,0.029,0.047619047619047616
9,23.0,-0.1955,0.044,0.043478260869565216
10,25.0,-0.19383,0.076,0.04
11,27.0,-0.19242,0.103,0.037037037037037035
12,29.0,-0.19122,0.128,0.034482758620689655
13,31.0,-0.19017,0.178,0.03225806451612903
14,33.0,-0.18926,0.234,0.030303030303030304
15,35.0,-0.18846,0.267,0.02857142857142857
16,37.0,-0.18774,0.443,0.02702702702702703
17,39.0,-0.1871,0.557,0.02564102564102564
18,41.0,-0.18653,0.465,0.024390243902439025
19,43.0,-0.18601,0.561,0.023255813953488372
20,45.0,-0.18554,0.699,0.022222222222222223
21,47.0,-0.18511,0.856,0.02127659574468085
22,49.0,-0.18471,0.972,0.02040816326530612
23,51.0,-0.18435,1.135,0.0196078431372549
24,53.0,-0.18402,1.34,0.018867924528301886
25,55.0,-0.18371,1.687,0.01818181818181818
26,57.0,-0.18342,1.876,0.017543859649122806
27,59.0,-0.18315,2.19,0.01694915254237288
28,61.0,-0.1829,2.585,0.01639344262295082
29,63.0,-0.18267,2.849,0.015873015873015872
30,65.0,-0.18245,3.297,0.015384615384615385
31,67.0,-0.18224,3.914,0.014925373134328358
32,69.0,-0.18205,4.591,0.014492753623188406
33,71.0,-0.18187,5.209,0.014084507042253521
34,73.0,-0.18169,6.576,0.0136986301369863
35,75.0,-0.18153,6.778,0.013333333333333334
36,77.0,-0.18138,7.773,0.012987012987012988
37,79.0,-0.18123,8.743,0.012658227848101266
38,81.0,-0.18109,9.786,0.012345679012345678
39,83.0,-0.18096,11.132,0.012048192771084338
40,85.0,-0.18083,12.467,0.011764705882352941
41,87.0,-0.18071,14.096,0.011494252873563218
42,89.0,-0.1806,16.093,0.011235955056179775
43,91.0,-0.18049,20.961,0.01098901098901099
44,93.0,-0.18038,21.724,0.010752688172043012
45,95.0,-0.18028,22.305,0.010526315789473684
46,97.0,-0.18019,24.392,0.010309278350515464
47,99.0,-0.1801,29.519,0.010101010101010102
48,101.0,-0.18001,29.947,0.009900990099009901
49,103.0,-0.17992,35.625,0.009708737864077669
50,105.0,-0.17984,37.76,0.009523809523809525
51,107.0,-0.17976,40.736,0.009345794392523364
52,109.0,-0.17969,47.765,0.009174311926605505
53,111.0,-0.17961,55.117,0.009009009009009009
54,113.0,-0.17954,58.849,0.008849557522123894
55,115.0,-0.17948,63.918,0.008695652173913044
56,117.0,-0.17941,66.653,0.008547008547008548
57,119.0,-0.17935,77.576,0.008403361344537815
58,121.0,-0.17929,96.45,0.008264462809917356
59,123.0,-0.17923,81.769,0.008130081300813009
